cs_activity,mother,replicate_num,d1_treat,d5_treat,,,,,,,,,,,,,,
2.431084,G72,2,con,NA,,,,,,,,,,,,,,
3.829175825,G72,3,con,NA,,,,,,,,,,,,,,
2.52556,G72,4,con,NA,,,,,,,,,,,,,,
4.87709,G72,5,con,NA,,,,,,,,,,,,,,
1.767125774,G72,6,con,NA,,,,,,,,,,,,,,
2.035129,G72,7,con,NA,,,,,,,,,,,,,,
5.252979,G72,8,con,NA,,,,,,,,,,,,,,
3.0847567,G72,9,con,NA,,,,,,,,,,,,,,
3.144044,G72,2,con,con,,,,,,,,,,,,,,
3.201113,G72,3,con,con,,,,,,,,,,,,,,
2.30766904,G72,4,con,con,,,,,,,,,,,,,,
0.659420436,G72,5,con,con,,,,,,,,,,,,,,
2.536349,G72,6,con,con,,,,,,,,,,,,,,
1.463731876,G72,7,con,con,,,,,,,,,,,,,,
1.31732844,G72,8,con,con,,,,,,,,,,,,,,
2.519409546,G72,9,con,con,,,,,,,,,,,,,,
2.362117,G72,2,con,hyp,,,,,,,,,,,,,,
3.544536,G72,3,con,hyp,,,,,,,,,,,,,,
NA,G72,4,con,hyp,,,,,,,,,,,,,,
1.079876586,G72,5,con,hyp,,,,,,,,,,,,,,
2.281958,G72,6,con,hyp,,,,,,,,,,,,,,
2.093206,G72,7,con,hyp,,,,,,,,,,,,,,
0.691786485,G72,8,con,hyp,,,,,,,,,,,,,,
1.14067636,G72,9,con,hyp,,,,,,,,,,,,,,
1.420073,G72,2,con,cross,,,,,,,,,,,,,,
1.589868721,G72,3,con,cross,,,,,,,,,,,,,,
NA,G72,4,con,cross,,,,,,,,,,,,,,
1.095303394,G72,5,con,cross,,,,,,,,,,,,,,
1.912924237,G72,6,con,cross,,,,,,,,,,,,,,
1.484300954,G72,7,con,cross,,,,,,,,,,,,,,
1.280122608,G72,8,con,cross,,,,,,,,,,,,,,
1.666901934,G72,9,con,cross,,,,,,,,,,,,,,
4.893626,G73,2,con,NA,,,,,,,,,,,,,,
3.13376,G73,3,con,NA,,,,,,,,,,,,,,
1.0081873,G73,4,con,NA,,,,,,,,,,,,,,
3.845813,G73,5,con,NA,,,,,,,,,,,,,,
3.489786,G73,6,con,NA,,,,,,,,,,,,,,
4.783823,G73,7,con,NA,,,,,,,,,,,,,,
3.588699,G73,8,con,NA,,,,,,,,,,,,,,
0.991953861,G73,9,con,NA,,,,,,,,,,,,,,
2.861521708,G73,2,con,con,,,,,,,,,,,,,,
1.029058864,G73,3,con,con,,,,,,,,,,,,,,
2.605618,G73,4,con,con,,,,,,,,,,,,,,
1.402932102,G73,5,con,con,,,,,,,,,,,,,,
3.018512,G73,6,con,con,,,,,,,,,,,,,,
3.271088346,G73,7,con,con,,,,,,,,,,,,,,
5.929138,G73,8,con,con,,,,,,,,,,,,,,
1.45405231,G73,9,con,con,,,,,,,,,,,,,,
2.975257,G73,2,con,hyp,,,,,,,,,,,,,,
1.038435943,G73,3,con,hyp,,,,,,,,,,,,,,
3.866684144,G73,4,con,hyp,,,,,,,,,,,,,,
3.04482849,G73,5,con,hyp,,,,,,,,,,,,,,
5.076025,G73,6,con,hyp,,,,,,,,,,,,,,
0.918046341,G73,7,con,hyp,,,,,,,,,,,,,,
1.182721975,G73,8,con,hyp,,,,,,,,,,,,,,
5.210026,G73,9,con,hyp,,,,,,,,,,,,,,
NA,G73,2,con,cross,,,,,,,,,,,,,,
2.547238299,G73,3,con,cross,,,,,,,,,,,,,,
NA,G73,4,con,cross,,,,,,,,,,,,,,
NA,G73,5,con,cross,,,,,,,,,,,,,,
NA,G73,6,con,cross,,,,,,,,,,,,,,
0.678174595,G73,7,con,cross,,,,,,,,,,,,,,
0.719312751,G73,8,con,cross,,,,,,,,,,,,,,
2.00951824,G73,9,con,cross,,,,,,,,,,,,,,
3.317368771,G79,2,hyp,NA,,,,,,,,,,,,,,
4.177337716,G79,3,hyp,NA,,,,,,,,,,,,,,
0.824578031,G79,4,hyp,NA,,,,,,,,,,,,,,
4.683095041,G79,5,hyp,NA,,,,,,,,,,,,,,
0.78222993,G79,6,hyp,NA,,,,,,,,,,,,,,
0.904434451,G79,7,hyp,NA,,,,,,,,,,,,,,
1.454959769,G79,8,hyp,NA,,,,,,,,,,,,,,
1.491863115,G79,9,hyp,NA,,,,,,,,,,,,,,
3.915082,G79,2,hyp,hyp,,,,,,,,,,,,,,
2.551775595,G79,3,hyp,hyp,,,,,,,,,,,,,,
2.410816915,G79,4,hyp,hyp,,,,,,,,,,,,,,
NA,G79,5,hyp,hyp,,,,,,,,,,,,,,
2.637984,G79,6,hyp,hyp,,,,,,,,,,,,,,
NA,G79,7,hyp,hyp,,,,,,,,,,,,,,
2.265220109,G79,8,hyp,hyp,,,,,,,,,,,,,,
1.226884995,G79,9,hyp,hyp,,,,,,,,,,,,,,
NA,G79,2,hyp,con,,,,,,,,,,,,,,
2.790134909,G79,3,hyp,con,,,,,,,,,,,,,,
3.131944584,G79,4,hyp,con,,,,,,,,,,,,,,
1.941055,G79,5,hyp,con,,,,,,,,,,,,,,
2.640404122,G79,6,hyp,con,,,,,,,,,,,,,,
1.243219262,G79,7,hyp,con,,,,,,,,,,,,,,
1.058097562,G79,8,hyp,con,,,,,,,,,,,,,,
1.567888,G79,9,hyp,con,,,,,,,,,,,,,,
NA,G79,2,hyp,cross,,,,,,,,,,,,,,
1.210853213,G79,3,hyp,cross,,,,,,,,,,,,,,
1.71903043,G79,4,hyp,cross,,,,,,,,,,,,,,
NA,G79,5,hyp,cross,,,,,,,,,,,,,,
0.567162072,G79,6,hyp,cross,,,,,,,,,,,,,,
1.79041723,G79,7,hyp,cross,,,,,,,,,,,,,,
0.704188429,G79,8,hyp,cross,,,,,,,,,,,,,,
1.08713626,G79,9,hyp,cross,,,,,,,,,,,,,,
0.694508863,G91,2,hyp,NA,,,,,,,,,,,,,,
1.938535,G91,3,hyp,NA,,,,,,,,,,,,,,
2.149469,G91,4,hyp,NA,,,,,,,,,,,,,,
2.176692,G91,5,hyp,NA,,,,,,,,,,,,,,
0.868337736,G91,6,hyp,NA,,,,,,,,,,,,,,
1.069188731,G91,7,hyp,NA,,,,,,,,,,,,,,
2.870596,G91,8,hyp,NA,,,,,,,,,,,,,,
1.120107282,G91,9,hyp,NA,,,,,,,,,,,,,,
4.446551,G91,2,hyp,hyp,,,,,,,,,,,,,,
1.25531872,G91,3,hyp,hyp,,,,,,,,,,,,,,
2.758979,G91,4,hyp,hyp,,,,,,,,,,,,,,
1.878138297,G91,5,hyp,hyp,,,,,,,,,,,,,,
1.740507,G91,6,hyp,hyp,,,,,,,,,,,,,,
1.060517453,G91,7,hyp,hyp,,,,,,,,,,,,,,
4.052713,G91,8,hyp,hyp,,,,,,,,,,,,,,
2.671862711,G91,9,hyp,hyp,,,,,,,,,,,,,,
NA,G91,2,hyp,con,,,,,,,,,,,,,,
2.532113977,G91,3,hyp,con,,,,,,,,,,,,,,
1.911411805,G91,4,hyp,con,,,,,,,,,,,,,,
1.086833774,G91,5,hyp,con,,,,,,,,,,,,,,
1.298675109,G91,6,hyp,con,,,,,,,,,,,,,,
2.085039021,G91,7,hyp,con,,,,,,,,,,,,,,
3.111375507,G91,8,hyp,con,,,,,,,,,,,,,,
0.597410716,G91,9,hyp,con,,,,,,,,,,,,,,
0.836677489,G91,2,hyp,cross,,,,,,,,,,,,,,
0.784952308,G91,3,hyp,cross,,,,,,,,,,,,,,
0.764685717,G91,4,hyp,cross,,,,,,,,,,,,,,
0.328802759,G91,5,hyp,cross,,,,,,,,,,,,,,
0.942850229,G91,6,hyp,cross,,,,,,,,,,,,,,
0.387585957,G91,7,hyp,cross,,,,,,,,,,,,,,
NA,G91,8,hyp,cross,,,,,,,,,,,,,,
NA,G91,9,hyp,cross,,,,,,,,,,,,,,
NA,G80,2,cross,NA,,,,,,,,,,,,,,
0.427110851,G80,3,cross,NA,,,,,,,,,,,,,,
NA,G80,4,cross,NA,,,,,,,,,,,,,,
0.938615419,G80,5,cross,NA,,,,,,,,,,,,,,
1.076851721,G80,6,cross,NA,,,,,,,,,,,,,,
NA,G80,7,cross,NA,,,,,,,,,,,,,,
1.003952489,G80,8,cross,NA,,,,,,,,,,,,,,
0.398072153,G80,9,cross,NA,,,,,,,,,,,,,,
NA,G80,2,cross,cross,,,,,,,,,,,,,,
3.225514,G80,3,cross,cross,,,,,,,,,,,,,,
NA,G80,4,cross,cross,,,,,,,,,,,,,,
NA,G80,5,cross,cross,,,,,,,,,,,,,,
NA,G80,6,cross,cross,,,,,,,,,,,,,,
1.257940269,G80,7,cross,cross,,,,,,,,,,,,,,
2.163584666,G80,8,cross,cross,,,,,,,,,,,,,,
2.922321483,G80,9,cross,cross,,,,,,,,,,,,,,
NA,G80,2,cross,con,,,,,,,,,,,,,,
1.897194942,G80,3,cross,con,,,,,,,,,,,,,,
NA,G80,4,cross,con,,,,,,,,,,,,,,
1.555586925,G80,5,cross,con,,,,,,,,,,,,,,
1.981286172,G80,6,cross,con,,,,,,,,,,,,,,
0.369033455,G80,7,cross,con,,,,,,,,,,,,,,
NA,G80,8,cross,con,,,,,,,,,,,,,,
1.065357236,G80,9,cross,con,,,,,,,,,,,,,,
1.695335659,G80,2,cross,hyp,,,,,,,,,,,,,,
1.150053439,G80,3,cross,hyp,,,,,,,,,,,,,,
0.636733953,G80,4,cross,hyp,,,,,,,,,,,,,,
3.037266,G80,5,cross,hyp,,,,,,,,,,,,,,
